General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1366,31547,ثانوية صروح العلم والتربية الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,62.41
1370,56235,ثانوية مدارس درر الجزيرة الاهلية للبنات,الخبر,AlSharquia,Domestic,تعليم عام بنات,62.38
1371,60844,ثانوية نور التوحيد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,62.38
1377,31235,ثانوية أنجال المملكة الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,62.34
1387,96645,ثانوية شبه الجزيرة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,62.3
1397,35216,ثانوية جيل الحضارة الاهلية,جدة,Makkah,Domestic,تعليم عام بنات,62.24
1400,60762,ثانوية  تربية الأجيال الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,62.21
1427,49157,ثانوية فجر القصيم الاهلية لتعليم الكبيرات ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,62
1445,60845,ثانوية منار السبيل الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,61.89
1453,35143,ثانوية الطفل المثالي,جدة,Makkah,Domestic,تعليم عام بنات,61.78
1469,31429,ثانوية واحة الفكر الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,61.58
1490,96980,ثانوية الديوان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.34
1492,97070,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.33
1504,28357,ثانوية البتول الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,61.2
1529,60831,ثانوية رواد النجاح الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,60.63
1556,35145,ثانوية الشعلة,جدة,Makkah,Domestic,تعليم عام بنات,60.23
1558,60817,ثانوية الأكاديمية العصرية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,60.15
1574,60738,ثانوية الواحة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,59.75
1578,48918,ثانوية أنجال القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,59.68
1579,96653,ثانوية الشفا الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,59.64
1585,48963,ثانوية البيان الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,59.53
1608,75068,ثانوية التربية  الإسلامية بحائل,حائل,Hail,Domestic,تعليم عام بنات,58.75
1617,60814,ثانوية المجد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,58.43
1625,186879,ثانوية بيت القيم الاهلية بالقريات,القريات,Gouf,Domestic,تعليم عام بنات,57.44
