ministerial_number,school_name,city,region,category,average,gender,exam_type,curriculum_track
33066,ثغر جدة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.98,male,capabilities,scientific
32824,المعهد العربي السعودي الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,73.77,male,capabilities,scientific
11187,ثانوية المستقبل النموذجية الأهلية,الرياض,Riyadh,تعليم عام بنين,73.69,male,capabilities,scientific
32835,الامجاد الثانية الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.58,male,capabilities,scientific
54159,ثانوية الضاحية الاهلية,الدمام,AlSharquia,تعليم عام بنين,73.58,male,capabilities,scientific
54114,ثانوية الهداية الأهلية,الدمام,AlSharquia,تعليم عام بنين,73.56,male,capabilities,scientific
112780,ثانوية الصدارة الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,73.52,male,capabilities,scientific
54140,ثانوية اجيال الاقصى الاهلية,الخبر,AlSharquia,تعليم عام بنين,73.44,male,capabilities,scientific
32876,دار التربية الحديثة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.42,male,capabilities,scientific
11194,ثانوية المجد الأهلية - العريجاء,الرياض,Riyadh,تعليم عام بنين,73.37,male,capabilities,scientific
11218,ثانوية الفلاح الأهلية,الرياض,Riyadh,تعليم عام بنين,73.28,male,capabilities,scientific
32842,دار المعرفة الثانوية الاهلية,جدة,Makkah,تعليم عام بنين,73.28,male,capabilities,scientific
54405,ثانوية السلام الاهلية بالخبر,الخبر,AlSharquia,تعليم عام بنين,73.16,male,capabilities,scientific
160233,المحافظة الاهلية الثانوية ( مقررات),حفر الباطن,AlSharquia,مقررات,73.15,male,capabilities,scientific
53939,ثانوية القطيف الاهلية,القطيف,AlSharquia,تعليم عام بنين,73.09,male,capabilities,scientific
26502,ثانوية البشرى بالعوالي الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,73.01,male,capabilities,scientific
11188,ثانوية التربية السعودية الأهلية,الرياض,Riyadh,تعليم عام بنين,72.76,male,capabilities,scientific
11209,ثانوية الأمجاد الأهلية ـ نظام المقررات,الرياض,Riyadh,مقررات,72.32,male,capabilities,scientific
57557,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية (بنين),الأحساء,AlSharquia,تعليم عام بنين,72.24,male,capabilities,scientific
10002,مدارس أكاديمية الكفاح الأهلية للتعليم – الثانوية نظام المقررات (بنين),الأحساء,AlSharquia,مقررات,72.02,male,capabilities,scientific
54297,ثانوية شمس الجزيرة الاهلية,الدمام,AlSharquia,تعليم عام بنين,71.99,male,capabilities,scientific
61537,ثانوية الأندلس الأهلية بأبها,أبها,Asser,تعليم عام بنين,71.99,male,capabilities,scientific
11238,ثانوية النبلاء الأهلية,الرياض,Riyadh,تعليم عام بنين,71.98,male,capabilities,scientific
32875,المجد الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,71.94,male,capabilities,scientific
133406,الأمجاد الثانويه الأهلية,جدة,Makkah,تعليم عام بنين,71.87,male,capabilities,scientific
16340,ثانوية الجامعة الأهلية,الخرج,Riyadh,تعليم عام بنين,71.86,male,capabilities,scientific
11201,ثانوية السعودية الأهلية,الرياض,Riyadh,تعليم عام بنين,71.84,male,capabilities,scientific
30059,صفوة الطليعة الاهلية الثانوية,الطائف,Makkah,تعليم عام بنين,71.75,male,capabilities,scientific
11197,ثانوية المواهب الأهلية,الرياض,Riyadh,تعليم عام بنين,71.59,male,capabilities,scientific
21409,ثانوية الوسام الأهلية,القويعية,Riyadh,تعليم عام بنين,71.57,male,capabilities,scientific
11208,ثانوية الإمام الشافعي الأهلية,الرياض,Riyadh,تعليم عام بنين,71.55,male,capabilities,scientific
110042,ثانوية الابتكارية الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,71.48,male,capabilities,scientific
32977,دار الثقافة الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,71.44,male,capabilities,scientific
12084,ثانوية الجودة الأهلية ـ نظام المقررات,الرياض,Riyadh,مقررات,71.44,male,capabilities,scientific
54306,ثانوية النخبة العلمية الاهلية,الدمام,AlSharquia,تعليم عام بنين,71.42,male,capabilities,scientific
112710,ثانوية أمجاد قرطبة الأهلية - نظام المقررات,الرياض,Riyadh,مقررات,71.32,male,capabilities,scientific
265051,ثانوية الأندلس مقررات الأهلية,مكة المكرمة,Makkah,مقررات,71.32,male,capabilities,scientific
111895,ثانوية المدينة الأكاديمية الأهلية,الرياض,Riyadh,تعليم عام بنين,71.24,male,capabilities,scientific
11198,ثانوية دار السلام الأهلية,الرياض,Riyadh,مقررات,71.23,male,capabilities,scientific
11210,ثانوية البيان الأهلية,الرياض,Riyadh,تعليم عام بنين,71.18,male,capabilities,scientific
11186,ثانوية شبه الجزيرة الأهلية,الرياض,Riyadh,تعليم عام بنين,71.14,male,capabilities,scientific
11203,ثانوية النخبة الأهلية - المصيف,الرياض,Riyadh,تعليم عام بنين,71.04,male,capabilities,scientific
153065,ثانوية الفلاح الأهلية,الدمام,AlSharquia,تعليم عام بنين,70.97,male,capabilities,scientific
26503,ثانوية ابن الصلاح الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,70.84,male,capabilities,scientific
11414,ثانوية المملكة الأهلية,الرياض,Riyadh,مقررات,70.54,male,capabilities,scientific
11219,ثانوية جرير الأهلية,الرياض,Riyadh,تعليم عام بنين,70.54,male,capabilities,scientific
57692,ثانوية جواثا الأهلية,الأحساء,AlSharquia,تعليم عام بنين,70.51,male,capabilities,scientific
32995,النظامية الثانوية الأهلية,جدة,Makkah,تعليم عام بنين,70.34,male,capabilities,scientific
26548,ثانوية الفضل الأهلية,مكة المكرمة,Makkah,تعليم عام بنين,70.26,male,capabilities,scientific
