General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1766,23733,ثانوية  منارات عفيف الاهلية,عفيف,Riyadh,Domestic,تعليم عام بنات,62.73
1793,78165,ثانوية قطوف الايمان بتيماء,تيماء,Tabuk,Domestic,تعليم عام بنات,62.44
1804,97235,ثانوية منارات المزاحمية الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,62.32
1823,60831,ثانوية رواد النجاح الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,62.18
1830,51311,ثانوية درة الملبي الأهلية,الرس,Qassim,Domestic,تعليم عام بنات,62.12
1836,89486,ثانوية جوهره الفكر الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,61.99
1866,189145,ثانوية اجياد التميز الاهلية - نظام المقررات,أبو عريش,Jazan,Domestic,مقررات,61.54
1881,189143,ثانوية اجياد التميز الاهلية,أبو عريش,Jazan,Domestic,تعليم عام بنات,61.38
1922,85253,ثانوية القمم الأهلية,سكاكا,Gouf,Domestic,تعليم عام بنات,60.92
1925,188528,ثانوية زهرات المستقبل الأهلية,جازان,Jazan,Domestic,تعليم عام بنات,60.82
1931,192047,مدارس أرقى المناهل الأهليه,صبيا,Jazan,Domestic,تعليم عام بنات,60.76
1958,60738,ثانوية الواحة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,60.29
1961,60814,ثانوية المجد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,60.19
1965,85337,ثانوية فتيات الأوائل الأهلية بدومة الجندل,دومة الجندل,Gouf,Domestic,تعليم عام بنات,60.03
2013,197035,ثانوية دار النهل الأهلية لتعليم الكبيرات,الرياض,Riyadh,Domestic,تعليم عام بنات,58.95
2020,23761,ثانوية الصفوة النموذجية الأهلية,عفيف,Riyadh,Domestic,تعليم عام بنات,58.83
2051,60886,ثانوية الأكاديمية العصرية لتعليم الكبيرات,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,57.74
