General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1554,35343,ثانوية الكوثر النموذجية,جدة,Makkah,Domestic,تعليم عام بنات,62.82
1561,83783,ثانوية بنات الغد الأهلية بعرعر-بنات,عرعر,Northern borders,Domestic,تعليم عام بنات,62.73
1571,49084,ثانوية الريادة الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,62.55
1578,63500,ثانوية شركة  المناهل الأهلية بأبها,أبها,Asser,Domestic,تعليم عام بنات,62.43
1585,49001,ثانوية طلائع القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,62.37
1586,22452,ثانوية الوسام الأهلية,القويعية,Riyadh,Domestic,تعليم عام بنات,62.33
1587,31547,ثانوية صروح العلم والتربية الأهلية بالطائف,الطائف,Makkah,Domestic,تعليم عام بنات,62.29
1603,77933,ثانوية الشمال النموذجية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,61.99
1604,46741,مدارس رائدات الشرق الأهلية ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,61.98
1605,28389,ثانوية مواهب المملكة الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,61.98
1612,186879,ثانوية بيت القيم الاهلية بالقريات,القريات,Gouf,Domestic,تعليم عام بنات,61.85
1613,31233,ثانوية شركة مدارس الطائف الأهلية النموذجية المحدودة,الطائف,Makkah,Domestic,تعليم عام بنات,61.85
1614,96240,ثانوية الزيادي الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.78
1619,46776,مدارس منارات ينبع الأهلية - ثانوي,ينبع,Madina,Domestic,تعليم عام بنات,61.72
1625,60762,ثانوية  تربية الأجيال الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,61.62
1627,118004,ثانوية نهج التميز الأهلية,ساجر,Riyadh,Domestic,تعليم عام بنات,61.6
1632,77930,ثانوية دار الحنان النموذجية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,61.56
1636,97406,ثانوية الأثير الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.47
1643,48993,ثانوية المجد الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,61.29
1647,97070,ثانوية أضواء الرياض الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.23
1651,197237,ثانوية مداد البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,61.12
1654,980651,ثانوية مسار العلوم و المعرفة الأهلية,المزاحمية,Riyadh,Domestic,تعليم عام بنات,61.06
1656,78165,ثانوية قطوف الايمان بتيماء,تيماء,Tabuk,Domestic,تعليم عام بنات,61.04
1671,128857,ثانوية الطموح الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,60.77
1675,48919,ثانوية رياض القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,60.72
1681,60845,ثانوية منار السبيل الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,60.56
1683,28321,ثانوية الفضل الأهلية بمكة المكرمة,مكة المكرمة,Makkah,Domestic,تعليم عام بنات,60.52
1685,25509,ثانوية اقرأ الأهلية,شقراء,Riyadh,Domestic,تعليم عام بنات,60.49
1689,18563,ثانوية انجال التربية الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنات,60.42
1697,49042,ثانوية فجر القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,60.3
1711,48963,ثانوية البيان الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,59.9
1716,75068,ثانوية التربية  الإسلامية بحائل,حائل,Hail,Domestic,تعليم عام بنات,59.78
1735,48982,ثانوية مناهل الإيمان الاهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,59.19
