General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1266,84424,القمم الأهلية - الثانوية,سكاكا,Gouf,Domestic,تعليم عام بنين,62.58
1267,11200,ثانوية الشفا الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,62.58
1283,50383,ثانوية الفكر التربوي الأهلية,الرس,Qassim,Domestic,تعليم عام بنين,62.45
1286,33213,السروات الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,62.43
1302,17509,ثانوية أجيال الدوادمي الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,62.29
1304,12098,ثانوية رحاب المعرفة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,62.26
1310,83352,ثانوية جيل الأوائل الأهلية برفحاء,رفحاء,Northern borders,Domestic,تعليم عام بنين,62.21
1314,33128,الطليعة الثانوية الاهلية,جدة,Makkah,Domestic,تعليم عام بنين,62.18
1317,54091,ثانوية اجيال الخفجي الأهلية,الخفجي,AlSharquia,Domestic,تعليم عام بنين,62.18
1329,26853,ثانوية طلائع العلم الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,62.06
1340,54044,ثانوية الساحل الاهلية,القطيف,AlSharquia,Domestic,تعليم عام بنين,62
1342,11410,ثانوية العروبة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.99
1344,86190,ثانوية القريات الأهلية,القريات,Gouf,Domestic,تعليم عام بنين,61.98
1355,87593,ثانوية المعرفة الاهليه,جازان,Jazan,Domestic,تعليم عام بنين,61.92
1370,46476,الحديثة الأهلية الثانوية,ينبع,Madina,Domestic,تعليم عام بنين,61.77
1371,47641,ثانوية مناهل التربية الاهلية,بريدة,Qassim,Domestic,تعليم عام بنين,61.77
1379,111455,ثانوية جيل التربية الأهلية,-,Riyadh,Domestic,تعليم عام بنين,61.7
1387,57739,ثانوية ديوان النهضة الأهلية,-,AlSharquia,Domestic,تعليم عام بنين,61.62
1399,10862,ثانوية رياض الموحِّد الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.53
1402,26585,ثانوية طلائع الفكر الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,61.5
1410,47546,ثانوية الخيرالأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,61.45
1421,26750,ثانوية الطموح بشارع الحج الأهلية,مكة المكرمة,Makkah,Domestic,تعليم عام بنين,61.39
1426,113084,ثانوية علوم التربية الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.37
1429,111930,ثانوية فرسان العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.34
1430,12288,ثانوية الصفا الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.33
1432,12222,ثانوية الإبداع الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.33
1442,147175,ثانوية اجيال الزرقاء,خب البريدي,Qassim,Domestic,تعليم عام بنين,61.26
1444,19156,مدرسة أجيال الزلفي الاهلية الثانوية,الزلفي,Riyadh,Domestic,تعليم عام بنين,61.25
1446,111775,ثانوية مداد البيان الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,61.25
