General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1717,47545,ثانوية أنجال القصيم,بريدة,Qassim,Domestic,تعليم عام بنين,53.78
1720,11562,ثانوية أم القرى الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,53.73
1724,12281,ثانوية نبع العلوم الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,53.66
1727,147175,ثانوية اجيال الزرقاء,خب البريدي,Qassim,Domestic,تعليم عام بنين,53.63
1728,47901,ثانوية الآفاق النموذجية الأهلية,البكيرية,Qassim,Domestic,تعليم عام بنين,53.61
1732,60393,الأوائل الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,53.56
1737,16337,ثانوية اجيال الخرج الأهلية,الخرج,Riyadh,Domestic,تعليم عام بنين,53.46
1743,30293,انجال النخبة الأهلية بالحوية الثانوية,الطائف,Makkah,Domestic,تعليم عام بنين,53.42
1744,21489,ثانوية السيرة الحسنة الأهلية,الرويضه بالعرض,Riyadh,Domestic,تعليم عام بنين,53.41
1748,47641,ثانوية مناهل التربية الاهلية,بريدة,Qassim,Domestic,تعليم عام بنين,53.37
1762,50300,ثانوية الأندلس الأهلية,الرس,Qassim,Domestic,تعليم عام بنين,53.26
1769,146363,ثانوية أجيال ينبع الاهلية,ينبع,Madina,Domestic,تعليم عام بنين,53.16
1770,60423,الأكاديمية العصرية الأهلية الثانوية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,53.12
1774,17497,ثانوية أجيال ساجر الأهلية,ساجر,Riyadh,Domestic,تعليم عام بنين,53.07
1779,47554,ثانوية رياض القصيم الأهلية,بريدة,Qassim,Domestic,تعليم عام بنين,53.03
1780,60388,نور الغد الأهلية الثانوية بالذيبية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنين,53.03
1781,17485,ثانوية علوم الرواد الأهلية,الدوادمي,Riyadh,Domestic,تعليم عام بنين,53
1785,11773,ثانوية جيل الريادة الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنين,52.98
