General Rank,Ministerial Number,School Name,City,Region,School Type,Category,Average
1467,48918,ثانوية أنجال القصيم الأهلية ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,64.6
1499,49157,ثانوية فجر القصيم الاهلية لتعليم الكبيرات ببريدة,بريدة,Qassim,Domestic,تعليم عام بنات,64.31
1500,197035,ثانوية دار النهل الأهلية لتعليم الكبيرات,الرياض,Riyadh,Domestic,تعليم عام بنات,64.31
1504,60738,ثانوية الواحة الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,64.27
1522,75068,ثانوية التربية  الإسلامية بحائل,حائل,Hail,Domestic,تعليم عام بنات,64.14
1560,60831,ثانوية رواد النجاح الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,63.79
1564,77933,ثانوية الشمال النموذجية بتبوك,تبوك,Tabuk,Domestic,تعليم عام بنات,63.74
1597,60817,ثانوية الأكاديمية العصرية الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,63.53
1600,78165,ثانوية قطوف الايمان بتيماء,تيماء,Tabuk,Domestic,تعليم عام بنات,63.49
1603,83801,ثانوية أنجال رفحاء الأهلية-بنات,رفحاء,Northern borders,Domestic,تعليم عام بنات,63.47
1608,60886,ثانوية الأكاديمية العصرية لتعليم الكبيرات,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,63.41
1641,96653,ثانوية الشفا الأهلية,الرياض,Riyadh,Domestic,تعليم عام بنات,63.14
1689,60814,ثانوية المجد الأهلية,حفر الباطن,AlSharquia,Domestic,تعليم عام بنات,62.63
1829,186879,ثانوية بيت القيم الاهلية بالقريات,القريات,Gouf,Domestic,تعليم عام بنات,59.42
